domain,curlie_category
saimandirus.org,Society
spiritualityandpractice.com,Society
profoto.com,World
pas-de-calais-tourisme.com,World
alias.io,Regional
soleramotor.com,World
eindhovenplein.nl,World
dierenambulance.nl,World
energoaktiv33.ru,World
unitradeltd.ru,World
farabihastanesi.com.tr,World
fahrsicherheitstraining.de.com,World
bsb-muenchen.de,World
pref.saga.lg.jp,World
wilsonhealth.org,Health
uniswales.ac.uk,Reference
bailgatechurch.org,Regional
virginialake.co.uk,Regional
radissonhotels.com,Regional
pygmygoatclub.org.uk,Regional
scribd.com,Regional
autonationfordorangepark.com,Regional
myiowahome.com,Regional
